MedDRA Code	PT	SOC
10073353	Post procedural contusion	Injury, poisoning and procedural complications
10073411	Incision site rash	Injury, poisoning and procedural complications
10073416	Incision site ulcer	Injury, poisoning and procedural complications
10073417	Incision site hyperaesthesia	Injury, poisoning and procedural complications
10073439	Incision site vesicles	Injury, poisoning and procedural complications
10074028	Fat overload syndrome	Injury, poisoning and procedural complications
10074079	Allergy to immunoglobulin therapy	Immune system disorders
10074755	Infected seroma	Infections and infestations
10074758	Incision site swelling	Injury, poisoning and procedural complications
10074905	Expulsion of medication	Injury, poisoning and procedural complications
10075247	Foreign body embolism	Vascular disorders
10075694	Incision site erosion	Injury, poisoning and procedural complications
10076387	Incarcerated incisional hernia	Injury, poisoning and procedural complications
10077304	Needle fatigue	Injury, poisoning and procedural complications
10078118	Calcium embolism	Vascular disorders
10078454	Puncture site cellulitis	Infections and infestations
10078910	Anastomotic infection	Infections and infestations
10079261	Atheroembolism	Vascular disorders
10079626	Drain site complication	Injury, poisoning and procedural complications
10080559	Post procedural fever	Injury, poisoning and procedural complications
10080574	Solid organ transplant rejection	Immune system disorders
10080894	Procedural shock	Injury, poisoning and procedural complications
10080908	Flap necrosis	Injury, poisoning and procedural complications
10081429	Strangulated incisional hernia	Injury, poisoning and procedural complications
10081589	Incision site fibrosis	Injury, poisoning and procedural complications
10081676	Complication of drug delivery system removal	Injury, poisoning and procedural complications
10082028	Incision site impaired healing	Injury, poisoning and procedural complications
10082075	Iatrogenic metastasis	Neoplasms benign, malignant and unspecified (incl cysts and polyps)
10082129	Dysbiosis	Gastrointestinal disorders
10082296	Incision site discharge	Injury, poisoning and procedural complications
10082493	Restenosis	Injury, poisoning and procedural complications
10082736	Incision site paraesthesia	Injury, poisoning and procedural complications
10082742	Infusion related hypersensitivity reaction	Immune system disorders
10082943	Post procedural pruritus	Injury, poisoning and procedural complications
10082944	Post procedural erythema	Injury, poisoning and procedural complications
10083797	Internal device exposed	Product issues
10084013	Post procedural hypotension	Injury, poisoning and procedural complications
10084641	Post intensive care syndrome	Injury, poisoning and procedural complications
10006377	Broad ligament tear	Reproductive system and breast disorders
10016116	Failed forceps delivery	Injury, poisoning and procedural complications
10028479	Mycoplasmal postabortal fever	Infections and infestations
10033167	Ovarian failure postoperative	Injury, poisoning and procedural complications
10034528	Perineal repair breakdown	Pregnancy, puerperium and perinatal conditions
10036390	Postmastectomy lymphoedema syndrome	Injury, poisoning and procedural complications
10038773	Retained products of conception	Pregnancy, puerperium and perinatal conditions
10046810	Uterine perforation	Injury, poisoning and procedural complications
10053868	Asherman's syndrome	Reproductive system and breast disorders
10061315	Obstetric procedure complication	Injury, poisoning and procedural complications
10065790	Fallopian tube perforation	Injury, poisoning and procedural complications
10065818	Vaginal perforation	Reproductive system and breast disorders
10065833	Reproductive tract anastomotic leak	Injury, poisoning and procedural complications
10068042	Premature ovulation	Reproductive system and breast disorders
10068266	Premature follicular ripening	Reproductive system and breast disorders
10068267	Delayed follicular ripening	Reproductive system and breast disorders
10069156	Ovarian remnant syndrome	Injury, poisoning and procedural complications
10069157	Residual ovary syndrome	Injury, poisoning and procedural complications
10070301	Uterine dehiscence	Injury, poisoning and procedural complications
10072333	Uterine necrosis	Reproductive system and breast disorders
10073930	Symmastia	Reproductive system and breast disorders
10074333	Uterine adhesions	Reproductive system and breast disorders
10074420	Fallopian tube spasm	Reproductive system and breast disorders
10074453	Red breast syndrome	Reproductive system and breast disorders
10074467	Uterine myoma expulsion	Neoplasms benign, malignant and unspecified (incl cysts and polyps)
10074527	Uterine scar	Reproductive system and breast disorders
10076608	Uterine scar diverticulum	Reproductive system and breast disorders
10077207	Failed in vitro fertilisation	Injury, poisoning and procedural complications
10077788	Poor response to ovulation induction	Injury, poisoning and procedural complications
10078930	Decreased embryo viability	Injury, poisoning and procedural complications
10079061	Post breast therapy pain syndrome	Injury, poisoning and procedural complications
10079172	Ovarian perforation	Injury, poisoning and procedural complications
10079330	Ovarian injury	Injury, poisoning and procedural complications
10080278	Vaginal cuff dehiscence	Injury, poisoning and procedural complications
10081324	Reproductive tract procedural complication	Injury, poisoning and procedural complications
10081330	Breast procedural complication	Injury, poisoning and procedural complications
10081481	Post ablation tubal sterilisation syndrome	Injury, poisoning and procedural complications
10083410	Neovaginal prolapse	Injury, poisoning and procedural complications
10083412	Neovaginal infection	Infections and infestations
10083413	Neovaginal discomfort	Injury, poisoning and procedural complications
10083414	Neovaginal perforation	Injury, poisoning and procedural complications
10083415	Neovaginal pain	Injury, poisoning and procedural complications
10083416	Neovaginal fistula	Injury, poisoning and procedural complications
10083417	Neovaginal complication	Injury, poisoning and procedural complications
10083418	Neovaginal stenosis	Injury, poisoning and procedural complications
10042344	Subcutaneous emphysema	Skin and subcutaneous tissue disorders
10042620	Surgical skin tear	Injury, poisoning and procedural complications
10058141	Skin graft rejection	Immune system disorders
10060856	Recall phenomenon	Injury, poisoning and procedural complications
10068774	Skin flap necrosis	Injury, poisoning and procedural complications
10076572	Dermal filler overcorrection	Injury, poisoning and procedural complications
10081329	Skin procedural complication	Injury, poisoning and procedural complications
10023439	Kidney transplant rejection	Immune system disorders
10046471	Urethral stricture postoperative	Injury, poisoning and procedural complications
10049277	Ureterostomy site discomfort	Injury, poisoning and procedural complications
10049676	Stenosis of vesicourethral anastomosis	Injury, poisoning and procedural complications
10050091	Urinoma	Renal and urinary disorders
10051187	Transurethral resection syndrome	Injury, poisoning and procedural complications
10056675	Postoperative renal failure	Injury, poisoning and procedural complications
10057587	Post procedural urine leak	Injury, poisoning and procedural complications
10059668	Renal lymphocele	Injury, poisoning and procedural complications
10063209	Chronic allograft nephropathy	Immune system disorders
10063475	Urinary retention postoperative	Injury, poisoning and procedural complications
10063575	Bladder perforation	Renal and urinary disorders
10065381	Polyomavirus-associated nephropathy	Infections and infestations
10065809	Ureteric perforation	Renal and urinary disorders
10065810	Urethral perforation	Renal and urinary disorders
10065816	Urostomy complication	Injury, poisoning and procedural complications
10066225	Post procedural haematuria	Injury, poisoning and procedural complications
10066861	Ureteric anastomosis complication	Injury, poisoning and procedural complications
10066892	Rectourethral fistula	Gastrointestinal disorders
10071718	Fowler's syndrome	Renal and urinary disorders
10075004	Urinary ascites	Gastrointestinal disorders
10076656	Acute allograft nephropathy	Immune system disorders
10077863	Postoperative pathological diuresis	Injury, poisoning and procedural complications
10081079	Renal pseudoaneurysm	Renal and urinary disorders
10081323	Renal procedural complication	Injury, poisoning and procedural complications
10081331	Urinary tract procedural complication	Injury, poisoning and procedural complications
10081582	Urinary bladder explosion	Injury, poisoning and procedural complications
10083032	Retrograde migration of renal calculi	Renal and urinary disorders
10083206	Vesicourethral fistula	Renal and urinary disorders
10044322	Tracheostomy malfunction	Injury, poisoning and procedural complications
10050484	Cement embolism	Injury, poisoning and procedural complications
10051604	Lung transplant rejection	Immune system disorders
10054809	Postoperative respiratory distress	Injury, poisoning and procedural complications
10056745	Postoperative thoracic procedure complication	Injury, poisoning and procedural complications
10062503	Bronchial anastomosis complication	Injury, poisoning and procedural complications
10062543	Tracheal haemorrhage	Injury, poisoning and procedural complications
10063349	Endotracheal intubation complication	Injury, poisoning and procedural complications
10063725	Idiopathic pneumonia syndrome	Respiratory, thoracic and mediastinal disorders
10063909	Post procedural pulmonary embolism	Injury, poisoning and procedural complications
10064110	Sternitis	Infections and infestations
10064715	Reexpansion pulmonary oedema	Respiratory, thoracic and mediastinal disorders
10066335	Tracheostomy infection	Infections and infestations
10066590	Post procedural pneumonia	Infections and infestations
10066821	Mechanical ventilation complication	Injury, poisoning and procedural complications
10066829	Weaning failure	Injury, poisoning and procedural complications
10067351	Laryngeal necrosis	Respiratory, thoracic and mediastinal disorders
10067826	Pulmonary air leakage	Respiratory, thoracic and mediastinal disorders
10067831	Post-thoracotomy pain syndrome	Injury, poisoning and procedural complications
10068820	Mediastinal effusion	Respiratory, thoracic and mediastinal disorders
10069119	Tracheal dilatation	Respiratory, thoracic and mediastinal disorders
10069388	Pulmonary oil microembolism	Injury, poisoning and procedural complications
10072338	Unilateral bronchospasm	Injury, poisoning and procedural complications
10072651	Postoperative respiratory failure	Injury, poisoning and procedural complications
10073719	Post pneumonectomy syndrome	Injury, poisoning and procedural complications
10075834	Nasal adhesions	Respiratory, thoracic and mediastinal disorders
10076417	Empty nose syndrome	Injury, poisoning and procedural complications
10081319	Respiratory tract procedural complication	Injury, poisoning and procedural complications
10081767	Pharyngeal perforation	Injury, poisoning and procedural complications
10083015	Oesophageal-pulmonary fistula	Gastrointestinal disorders
10083180	Tracheal scarring	Respiratory, thoracic and mediastinal disorders
10084375	Oropharyngeal stenosis	Injury, poisoning and procedural complications
10084402	Vocal cord fixation	Respiratory, thoracic and mediastinal disorders
10000221	Abortion induced complete complicated	Injury, poisoning and procedural complications
10000223	Abortion induced complicated	Injury, poisoning and procedural complications
10000225	Abortion induced incomplete complicated	Injury, poisoning and procedural complications
10052844	Induced abortion haemorrhage	Injury, poisoning and procedural complications
10052845	Induced abortion infection	Infections and infestations
10053191	Induced abortion failed	Injury, poisoning and procedural complications
10053984	Abortion induced incomplete	Injury, poisoning and procedural complications
10000206	ABO incompatibility	Immune system disorders
10018872	Haemochromatosis	Metabolism and nutrition disorders
10019024	Haemosiderosis	Metabolism and nutrition disorders
10019791	Hepatitis post transfusion	Infections and infestations
10023052	Isoimmune haemolytic disease	Blood and lymphatic system disorders
10040400	Serum sickness	Immune system disorders
10044359	Transfusion reaction	Injury, poisoning and procedural complications
10050455	Refractoriness to platelet transfusion	Injury, poisoning and procedural complications
10052235	Transfusion-related acute lung injury	Injury, poisoning and procedural complications
10063676	Rhesus incompatibility	Immune system disorders
10065973	Iron overload	Metabolism and nutrition disorders
10066173	Allergic transfusion reaction	Injury, poisoning and procedural complications
10066174	Transfusion-related circulatory overload	Injury, poisoning and procedural complications
10066175	Transfusion-related immunomodulation reaction	Injury, poisoning and procedural complications
10066176	Transfusion microchimerism	Injury, poisoning and procedural complications
10066181	Acute haemolytic transfusion reaction	Injury, poisoning and procedural complications
10066182	Delayed haemolytic transfusion reaction	Injury, poisoning and procedural complications
10066183	Febrile nonhaemolytic transfusion reaction	Injury, poisoning and procedural complications
10067113	Anaphylactic transfusion reaction	Injury, poisoning and procedural complications
10067122	Haemolytic transfusion reaction	Injury, poisoning and procedural complications
10070895	Transfusion associated graft versus host disease	Immune system disorders
10071090	Transfusion related complication	Injury, poisoning and procedural complications
10072263	Delayed serologic transfusion reaction	Injury, poisoning and procedural complications
10072264	Hypotensive transfusion reaction	Injury, poisoning and procedural complications
10072265	Post transfusion purpura	Injury, poisoning and procedural complications
10072266	Transfusion-associated dyspnoea	Injury, poisoning and procedural complications
10076211	Apheresis related complication	Injury, poisoning and procedural complications
10078985	Blood type incompatibility	Immune system disorders
10080569	Cardiac iron overload	Cardiac disorders
10081503	Transfusion-related alloimmune neutropenia	Injury, poisoning and procedural complications
10059031	Blood stem cell harvest failure	Injury, poisoning and procedural complications
10068641	Pleuroperitoneal communication	Respiratory, thoracic and mediastinal disorders
10070894	Tumour cell mobilisation	Injury, poisoning and procedural complications
10072557	Peripheral artery restenosis	Injury, poisoning and procedural complications
10074387	Axillary web syndrome	Injury, poisoning and procedural complications
10074430	Rectoprostatic fistula	Reproductive system and breast disorders
10075117	Postsplenectomy syndrome	Injury, poisoning and procedural complications
10076575	Harlequin syndrome	Nervous system disorders
10081320	Spleen procedural complication	Injury, poisoning and procedural complications
10081328	Head and neck procedural complication	Injury, poisoning and procedural complications
10011469	Crying	General disorders and administration site conditions
10014602	Encephalitis post immunisation	Nervous system disorders
10021121	Hypotonic-hyporesponsive episode	Nervous system disorders
10021432	Immunisation reaction	Immune system disorders
10021875	Infection via vaccinee	Infections and infestations
10036242	Post vaccination syndrome	Injury, poisoning and procedural complications
10046861	Vaccination complication	Injury, poisoning and procedural complications
10046862	Vaccination failure	Injury, poisoning and procedural complications
10046865	Vaccinia virus infection	Infections and infestations
10052000	Measles post vaccine	Infections and infestations
10052286	High-pitched crying	General disorders and administration site conditions
10055048	Allergy to vaccine	Immune system disorders
10057224	Irritability postvaccinal	General disorders and administration site conditions
10063522	Varicella post vaccine	Infections and infestations
10066042	Eczema vaccinatum	Infections and infestations
10066043	Post vaccination autoinoculation	Infections and infestations
10066903	Vaccine positive rechallenge	General disorders and administration site conditions
10066904	Reaction to previous exposure to any vaccine	Injury, poisoning and procedural complications
10067923	Vaccine breakthrough infection	Infections and infestations
10069197	Yellow fever vaccine-associated viscerotropic disease	Infections and infestations
10069198	Yellow fever vaccine-associated neurotropic disease	Infections and infestations
10069520	Adverse event following immunisation	Injury, poisoning and procedural complications
10069540	Generalised vaccinia	Infections and infestations
10069582	Progressive vaccinia	Infections and infestations
10070583	Vaccine virus shedding	Infections and infestations
10075205	Immunisation anxiety related reaction	Psychiatric disorders
10076666	Disseminated Bacillus Calmette-Guerin infection	Infections and infestations
10076667	Disseminated varicella zoster vaccine virus infection	Infections and infestations
10076716	Vaccine associated paralytic poliomyelitis	Infections and infestations
10081929	Vaccine bacteria shedding	Infections and infestations
10059256	Dialysis disequilibrium syndrome	Injury, poisoning and procedural complications
10063067	Dialysis induced hypertension	Vascular disorders
10064553	Dialysis amyloidosis	Immune system disorders
10067011	Peritoneal cloudy effluent	Gastrointestinal disorders
10067442	Bloody peritoneal effluent	Gastrointestinal disorders
10067594	Peritoneal dialysis complication	Injury, poisoning and procedural complications
10068800	Extensive interdialytic weight gain	Injury, poisoning and procedural complications
10069568	Ultrafiltration failure	Gastrointestinal disorders
10070476	Haemodialysis complication	Injury, poisoning and procedural complications
10071946	Dialysis related complication	Injury, poisoning and procedural complications
10072735	Aluminium overload	Metabolism and nutrition disorders
10076665	Dialysis membrane reaction	Immune system disorders
10077108	Inadequate haemodialysis	Injury, poisoning and procedural complications
10078114	Destructive spondyloarthropathy	Musculoskeletal and connective tissue disorders
10082066	Peritoneal dialysate leakage	Injury, poisoning and procedural complications
10082492	Increased intraperitoneal volume	Gastrointestinal disorders
10082669	Pseudomonas peritonitis	Infections and infestations
10084012	Dialysis hypotension	Vascular disorders
10005972	Bone graft lysis	Injury, poisoning and procedural complications
10010162	Complications of bone marrow transplant	Injury, poisoning and procedural complications
10010165	Complications of limb reattachment surgery	Injury, poisoning and procedural complications
10010183	Complications of transplant surgery	Injury, poisoning and procedural complications
10010184	Complications of transplanted heart	Injury, poisoning and procedural complications
10010185	Complications of transplanted kidney	Injury, poisoning and procedural complications
10010186	Complications of transplanted liver	Injury, poisoning and procedural complications
10010187	Complications of transplanted lung	Injury, poisoning and procedural complications
10010190	Complications of transplanted pancreas	Injury, poisoning and procedural complications
10018651	Graft versus host disease	Immune system disorders
10029888	Obliterative bronchiolitis	Respiratory, thoracic and mediastinal disorders
10040855	Skin graft infection	Infections and infestations
10047216	Venoocclusive liver disease	Hepatobiliary disorders
10048748	Graft loss	Injury, poisoning and procedural complications
10050684	Engraftment syndrome	Immune system disorders
10051269	Graft thrombosis	Injury, poisoning and procedural complications
10051340	Transplant abscess	Infections and infestations
10051396	Delayed engraftment	Injury, poisoning and procedural complications
10053161	Graft overgrowth	Injury, poisoning and procedural complications
10053209	Skin graft failure	Injury, poisoning and procedural complications
10056559	Graft infection	Infections and infestations
10058060	Graft complication	Injury, poisoning and procedural complications
10058067	Graft delamination	Injury, poisoning and procedural complications
10059030	Bone marrow harvest failure	Injury, poisoning and procedural complications
10059032	Blood stem cell transplant failure	Injury, poisoning and procedural complications
10059399	Graft ischaemia	Injury, poisoning and procedural complications
10059600	Donor site complication	Injury, poisoning and procedural complications
10060872	Transplant failure	Injury, poisoning and procedural complications
10063577	Graft haemorrhage	Injury, poisoning and procedural complications
10064675	Graft versus host disease in skin	Immune system disorders
10064676	Graft versus host disease in liver	Immune system disorders
10064686	Complications of intestinal transplant	Injury, poisoning and procedural complications
10066260	Acute graft versus host disease	Immune system disorders
10066261	Chronic graft versus host disease	Immune system disorders
10066262	Acute graft versus host disease in skin	Immune system disorders
10066263	Acute graft versus host disease in liver	Immune system disorders
10066264	Acute graft versus host disease in intestine	Immune system disorders
10067742	Graft versus host disease in lung	Immune system disorders
10068081	Engraft failure	Injury, poisoning and procedural complications
10068179	Post transplant distal limb syndrome	Musculoskeletal and connective tissue disorders
10070283	Renal transplant torsion	Injury, poisoning and procedural complications
10071735	Pre-engraftment immune reaction	Immune system disorders
10072158	Chronic graft versus host disease in intestine	Immune system disorders
10072159	Chronic graft versus host disease in skin	Immune system disorders
10072160	Chronic graft versus host disease in liver	Immune system disorders
10073516	Skin graft detachment	Injury, poisoning and procedural complications
10073517	Skin graft scar contracture	Injury, poisoning and procedural complications
10073518	Skin graft scar	Injury, poisoning and procedural complications
10073519	Skin graft contracture	Injury, poisoning and procedural complications
10073596	Passenger lymphocyte syndrome	Immune system disorders
10074495	Renal transplant failure	Immune system disorders
10074555	Transplantation complication	Injury, poisoning and procedural complications
10074563	Graft versus host disease in eye	Immune system disorders
10074860	Transplant dysfunction	Injury, poisoning and procedural complications
10075008	Transplantation associated food allergy	Immune system disorders
10075160	Graft versus host disease in gastrointestinal tract	Immune system disorders
10076251	Donor organ tissue preparation issue	Injury, poisoning and procedural complications
10076664	Delayed graft function	Injury, poisoning and procedural complications
10077055	Hepatic gas gangrene	Infections and infestations
10077506	Restrictive allograft syndrome	Injury, poisoning and procedural complications
10078229	Renal graft infection	Infections and infestations
10079738	Transmission of an infectious agent via transplant	Infections and infestations
10080618	Kidney transplant rupture	Injury, poisoning and procedural complications
10081851	Corneal graft failure	Injury, poisoning and procedural complications
10083175	Liver transplant failure	Injury, poisoning and procedural complications
10083303	Bronchiolitis obliterans syndrome	Respiratory, thoracic and mediastinal disorders
10083513	Acute graft versus host disease oral	Immune system disorders
10083514	Chronic graft versus host disease oral	Immune system disorders
10083757	Chronic graft versus host disease in eye	Immune system disorders
10084779	Cord colitis syndrome	Gastrointestinal disorders
10049445	Stoma site discomfort	Injury, poisoning and procedural complications
10057843	Stoma site pain	Injury, poisoning and procedural complications
10059052	Stoma site candida	Infections and infestations
10059058	Stoma site reaction	Injury, poisoning and procedural complications
10059071	Stoma site rash	Injury, poisoning and procedural complications
10059072	Stoma site irritation	Injury, poisoning and procedural complications
10059086	Stoma site abscess	Infections and infestations
10062286	Stomal hernia	Injury, poisoning and procedural complications
10064505	Stoma site infection	Infections and infestations
10065669	Stoma site inflammation	Injury, poisoning and procedural complications
10065712	Gastrointestinal stoma necrosis	Injury, poisoning and procedural complications
10065718	Gastrointestinal stoma complication	Injury, poisoning and procedural complications
10074508	Stoma site haemorrhage	Injury, poisoning and procedural complications
10074509	Stoma site hypersensitivity	Injury, poisoning and procedural complications
10074510	Stoma site induration	Injury, poisoning and procedural complications
10074511	Stoma site ischaemia	Injury, poisoning and procedural complications
10074512	Stoma site paraesthesia	Injury, poisoning and procedural complications
10074513	Stoma site phlebitis	Injury, poisoning and procedural complications
10074514	Stoma site erythema	Injury, poisoning and procedural complications
10074515	Stoma site thrombosis	Injury, poisoning and procedural complications
10074516	Stoma site ulcer	Injury, poisoning and procedural complications
10074517	Stoma site vasculitis	Injury, poisoning and procedural complications
10074520	Stoma site hypoaesthesia	Injury, poisoning and procedural complications
10074565	Stoma obstruction	Injury, poisoning and procedural complications
10074566	Stoma complication	Injury, poisoning and procedural complications
10074942	Urinary tract stoma complication	Injury, poisoning and procedural complications
10075016	Stoma site pruritus	Injury, poisoning and procedural complications
10075017	Stoma site cellulitis	Infections and infestations
10075186	Stomal varices	Injury, poisoning and procedural complications
10075511	Stoma site extravasation	Injury, poisoning and procedural complications
10075512	Stoma site discharge	Injury, poisoning and procedural complications
10075517	Stoma site hypergranulation	Injury, poisoning and procedural complications
10075618	Stoma site oedema	Injury, poisoning and procedural complications
10076053	Gastrostomy tube site complication	Injury, poisoning and procedural complications
10076360	Stoma site odour	Injury, poisoning and procedural complications
10076454	Chronic papillomatous dermatitis	Skin and subcutaneous tissue disorders
10077702	Stoma site polyp	Injury, poisoning and procedural complications
10083531	Incarcerated parastomal hernia	Injury, poisoning and procedural complications
10083621	Stoma site dermatitis	Injury, poisoning and procedural complications
10062680	Medical device site reaction	General disorders and administration site conditions
10075569	Medical device site abscess	Infections and infestations
10075570	Medical device site bruise	General disorders and administration site conditions
10075571	Medical device site cellulitis	Infections and infestations
10075572	Medical device site dermatitis	General disorders and administration site conditions
10075573	Medical device site discharge	General disorders and administration site conditions
10075574	Medical device site discolouration	General disorders and administration site conditions
10075575	Medical device site eczema	General disorders and administration site conditions
10075576	Medical device site erythema	General disorders and administration site conditions
10075577	Medical device site haematoma	General disorders and administration site conditions
10075578	Medical device site haemorrhage	General disorders and administration site conditions
10075579	Medical device site hypersensitivity	General disorders and administration site conditions
10075580	Medical device site infection	Infections and infestations
10075581	Medical device site inflammation	General disorders and administration site conditions
10075582	Medical device site irritation	General disorders and administration site conditions
10075583	Medical device site oedema	General disorders and administration site conditions
10075584	Medical device site pruritus	General disorders and administration site conditions
10075585	Medical device site rash	General disorders and administration site conditions
10075586	Medical device site swelling	General disorders and administration site conditions
10075587	Medical device site ulcer	General disorders and administration site conditions
10075588	Medical device site urticaria	General disorders and administration site conditions
10075589	Medical device site paraesthesia	General disorders and administration site conditions
10076096	Medical device site anaesthesia	General disorders and administration site conditions
10076097	Medical device site atrophy	General disorders and administration site conditions
10076098	Medical device site calcification	General disorders and administration site conditions
10076099	Medical device site coldness	General disorders and administration site conditions
10076100	Medical device site cyst	General disorders and administration site conditions
10076101	Medical device site discomfort	General disorders and administration site conditions
10076102	Medical device site dryness	General disorders and administration site conditions
10076103	Medical device site dysaesthesia	General disorders and administration site conditions
10076104	Medical device site erosion	General disorders and administration site conditions
10076105	Medical device site exfoliation	General disorders and administration site conditions
10076106	Medical device site extravasation	General disorders and administration site conditions
10076107	Medical device site fibrosis	General disorders and administration site conditions
10076108	Medical device site granuloma	General disorders and administration site conditions
10076109	Medical device site hyperaesthesia	General disorders and administration site conditions
10076110	Medical device site hypertrichosis	General disorders and administration site conditions
10076111	Medical device site hypertrophy	General disorders and administration site conditions
10076112	Medical device site hypoaesthesia	General disorders and administration site conditions
10076113	Medical device site induration	General disorders and administration site conditions
10076114	Medical device site injury	General disorders and administration site conditions
10076115	Medical device site ischaemia	General disorders and administration site conditions
10076116	Medical device site joint discomfort	General disorders and administration site conditions
10076117	Medical device site joint effusion	General disorders and administration site conditions
10076118	Medical device site joint infection	Infections and infestations
10076119	Medical device site joint inflammation	General disorders and administration site conditions
10076120	Medical device site joint movement impairment	General disorders and administration site conditions
10076121	Medical device site joint pain	General disorders and administration site conditions
10076122	Medical device site joint erythema	General disorders and administration site conditions
10076123	Medical device site joint swelling	General disorders and administration site conditions
10076124	Medical device site joint warmth	General disorders and administration site conditions
10076125	Medical device site laceration	General disorders and administration site conditions
10076126	Medical device site lymphadenopathy	General disorders and administration site conditions
10076127	Medical device site macule	General disorders and administration site conditions
10076128	Medical device site mass	General disorders and administration site conditions
10076129	Medical device site movement impairment	General disorders and administration site conditions
10076130	Medical device site necrosis	General disorders and administration site conditions
10076131	Medical device site nerve damage	General disorders and administration site conditions
10076132	Medical device site nodule	General disorders and administration site conditions
10076133	Medical device site pain	General disorders and administration site conditions
10076134	Medical device site pallor	General disorders and administration site conditions
10076135	Medical device site papule	General disorders and administration site conditions
10076136	Medical device site phlebitis	General disorders and administration site conditions
10076137	Medical device site photosensitivity reaction	General disorders and administration site conditions
10076138	Medical device site plaque	General disorders and administration site conditions
10076139	Medical device site pustule	Infections and infestations
10076140	Medical device site recall reaction	General disorders and administration site conditions
10076141	Medical device site scab	General disorders and administration site conditions
10076142	Medical device site scar	General disorders and administration site conditions
10076143	Medical device site sterile abscess	General disorders and administration site conditions
10076144	Medical device site streaking	General disorders and administration site conditions
10076145	Medical device site thrombosis	General disorders and administration site conditions
10076146	Medical device site vasculitis	General disorders and administration site conditions
10076147	Medical device site vesicles	General disorders and administration site conditions
10076148	Medical device site warmth	General disorders and administration site conditions
10078658	Medical device site hyperhidrosis	General disorders and administration site conditions
10079160	Medical device site hyperkeratosis	General disorders and administration site conditions
10079169	Medical device site burn	General disorders and administration site conditions
10079332	Medical device site odour	General disorders and administration site conditions
10082217	Medical device site fistula	General disorders and administration site conditions
10002100	Anaesthetic complication cardiac	Injury, poisoning and procedural complications
10002105	Anaesthetic complication neurological	Injury, poisoning and procedural complications
10002108	Anaesthetic complication pulmonary	Injury, poisoning and procedural complications
10012206	Delayed recovery from anaesthesia	Injury, poisoning and procedural complications
10021576	Inadequate analgesia	General disorders and administration site conditions
10029314	Neuromuscular block prolonged	Injury, poisoning and procedural complications
10049979	Airway complication of anaesthesia	Injury, poisoning and procedural complications
10050634	Unwanted awareness during anaesthesia	Injury, poisoning and procedural complications
10051176	Premature recovery from anaesthesia	Injury, poisoning and procedural complications
10060938	Anaesthetic complication	Injury, poisoning and procedural complications
10060939	Anaesthetic complication vascular	Injury, poisoning and procedural complications
10068408	Recurrence of neuromuscular blockade	Injury, poisoning and procedural complications
10069828	Trigemino-cardiac reflex	Nervous system disorders
10075343	Acute postoperative sialadenitis	Injury, poisoning and procedural complications
10079741	Sedation complication	Injury, poisoning and procedural complications
10080589	Negative pressure pulmonary oedema	Respiratory, thoracic and mediastinal disorders
10082534	Local anaesthetic systemic toxicity	Injury, poisoning and procedural complications
10008420	Chemical burn	Injury, poisoning and procedural complications
10008422	Chemical burns of eye	Injury, poisoning and procedural complications
10008571	Chloracne	Injury, poisoning and procedural complications
10022928	Iodo acne	Injury, poisoning and procedural complications
10027206	Meningitis chemical	Injury, poisoning and procedural complications
10030218	Oesophagitis chemical	Injury, poisoning and procedural complications
10035745	Pneumonitis chemical	Injury, poisoning and procedural complications
10037427	Pulmonary oedema post fume inhalation	Injury, poisoning and procedural complications
10056874	Chemical cystitis	Injury, poisoning and procedural complications
10057941	Chemical burn of skin	Injury, poisoning and procedural complications
10061485	Respiratory fume inhalation disorder	Injury, poisoning and procedural complications
10067560	Chemical phlebitis	Injury, poisoning and procedural complications
10069394	Bronchitis chemical	Injury, poisoning and procedural complications
10070419	Chemical peritonitis	Injury, poisoning and procedural complications
10070775	Chemical burn of respiratory tract	Injury, poisoning and procedural complications
10070776	Chemical burn of gastrointestinal tract	Injury, poisoning and procedural complications
10070782	Chemical burn of oral cavity	Injury, poisoning and procedural complications
10070814	Corrosive gastritis	Injury, poisoning and procedural complications
10075425	Reactive gastropathy	Injury, poisoning and procedural complications
10078944	First degree chemical burn of skin	Injury, poisoning and procedural complications
10078945	Second degree chemical burn of skin	Injury, poisoning and procedural complications
10078946	Third degree chemical burn of skin	Injury, poisoning and procedural complications
10078947	Fourth degree chemical burn of skin	Injury, poisoning and procedural complications
10082269	Chemical burn of genitalia	Injury, poisoning and procedural complications
10000383	Accidental poisoning	Injury, poisoning and procedural complications
10000598	Acrodynia	Nervous system disorders
10001596	Alcohol induced persisting dementia	Nervous system disorders
10001605	Alcohol poisoning	Injury, poisoning and procedural complications
10001632	Alcoholic psychosis	Psychiatric disorders
10001907	Amblyopia alcohol	Injury, poisoning and procedural complications
10001914	Amblyopia tobacco	Eye disorders
10003139	Arsenical keratosis	Skin and subcutaneous tissue disorders
10004022	Bacterial food poisoning	Infections and infestations
10007238	Carbon monoxide poisoning	Injury, poisoning and procedural complications
10007246	Carboxyhaemoglobinaemia	Blood and lymphatic system disorders
10007269	Carcinogenicity	Injury, poisoning and procedural complications
10008428	Chemical poisoning	Injury, poisoning and procedural complications
10009189	Cinchonism	Injury, poisoning and procedural complications
10012225	Delirium tremens	Psychiatric disorders
10012442	Dermatitis contact	Skin and subcutaneous tissue disorders
10015124	Ergot poisoning	Injury, poisoning and procedural complications
10016818	Fluorosis	Injury, poisoning and procedural complications
